2023-03-26 10:37:00.715 | INFO | get_exchange_rates:15 | Запрос по API в банк на 2023-03-26
2023-03-26 10:37:00.903 | SUCCESS | get_exchange_rates:18 | Запрос по API в банк на 2023-03-26 произошел успешно
2023-03-26 10:37:00.921 | SUCCESS | firsttask:29 | Успешная запись в БД
2023-03-26 10:50:54.064 | INFO | get_exchange_rates:15 | Запрос по API в банк на 2023-03-27
2023-03-26 10:50:54.211 | SUCCESS | get_exchange_rates:18 | Запрос по API в банк на 2023-03-27 произошел успешно
2023-03-26 10:50:54.227 | SUCCESS | firsttask:29 | Успешная запись в БД
2023-03-26 10:52:12.695 | INFO | get_exchange_rates:15 | Запрос по API в банк на 2023-04-08
2023-03-26 10:52:12.873 | SUCCESS | get_exchange_rates:18 | Запрос по API в банк на 2023-04-08 произошел успешно
2023-03-26 10:52:12.874 | WARNING | firsttask:24 | Нет данных о курсах валют
2023-03-26 10:54:16.691 | INFO | get_exchange_rates:15 | Запрос по API в банк на 2023-01-01
2023-03-26 10:54:16.845 | SUCCESS | get_exchange_rates:18 | Запрос по API в банк на 2023-01-01 произошел успешно
2023-03-26 10:54:16.855 | SUCCESS | firsttask:29 | Успешная запись в БД
2023-03-26 11:02:37.400 | INFO | firsttask:20 | Данная запись есть в БД. Отображу из БД
2023-03-26 11:32:16.023 | INFO | get_exchange_rates:15 | Запрос по API в банк на 2022-12-07
2023-03-26 11:32:16.228 | SUCCESS | get_exchange_rates:19 | Запрос по API в банк на 2022-12-07 произошел успешно
2023-03-26 11:32:16.247 | SUCCESS | firsttask:30 | Успешная запись в БД
2023-03-26 11:32:32.253 | INFO | get_exchange_rates:15 | Запрос по API в банк на 2023-01-28
2023-03-26 11:32:32.434 | SUCCESS | get_exchange_rates:19 | Запрос по API в банк на 2023-01-28 произошел успешно
2023-03-26 11:32:32.453 | SUCCESS | firsttask:30 | Успешная запись в БД
