2023-03-29 15:57:28.124 | INFO | get_list_name_currencies:60 | API request to bank for the list of all names currencies
2023-03-29 15:57:28.312 | SUCCESS | get_list_name_currencies:73 | I have got the list currencies
2023-03-29 15:58:32.244 | INFO | get_list_name_currencies:60 | API request to bank for the list of all names currencies
2023-03-29 15:58:32.470 | SUCCESS | get_list_name_currencies:73 | I have got the list currencies
2023-03-29 15:58:43.514 | INFO | get_list_name_currencies:60 | API request to bank for the list of all names currencies
2023-03-29 15:58:43.729 | SUCCESS | get_list_name_currencies:73 | I have got the list currencies
2023-03-29 15:58:50.446 | INFO | get_list_name_currencies:60 | API request to bank for the list of all names currencies
2023-03-29 15:58:50.637 | SUCCESS | get_list_name_currencies:73 | I have got the list currencies
2023-03-29 16:00:37.725 | INFO | get_exchange_rates_on_date:22 | API request to bank
2023-03-29 16:00:38.040 | SUCCESS | get_exchange_rates_on_date:25 | API request to bank completed successfully
2023-03-29 16:00:38.058 | SUCCESS | first_task:27 | Saved in the DB
2023-03-29 16:01:07.044 | INFO | first_task:19 | This instance is in the database. Display from the database
2023-03-29 16:03:21.535 | INFO | get_currency_rate_on_date:40 | API request to bank
2023-03-29 16:03:21.773 | SUCCESS | get_currency_rate_on_date:43 | API request to bank completed successfully
2023-03-29 16:03:21.789 | SUCCESS | second_task:24 | Saved in the DB
2023-03-29 16:03:21.793 | INFO | compare_currency_rate:88 | API request to bank
2023-03-29 16:03:21.998 | SUCCESS | compare_currency_rate:91 | API request to bank completed successfully
2023-03-29 16:03:37.338 | INFO | second_task:16 | This instance is in the database. Display from the database
2023-03-29 16:03:37.338 | INFO | compare_currency_rate:88 | API request to bank
2023-03-29 16:03:37.531 | SUCCESS | compare_currency_rate:91 | API request to bank completed successfully
2023-03-29 16:04:40.522 | INFO | get_currency_rate_on_date:40 | API request to bank
2023-03-29 16:04:40.734 | SUCCESS | get_currency_rate_on_date:43 | API request to bank completed successfully
2023-03-29 16:04:40.750 | SUCCESS | second_task:24 | Saved in the DB
2023-03-29 16:04:40.753 | INFO | compare_currency_rate:88 | API request to bank
2023-03-29 16:04:40.962 | SUCCESS | compare_currency_rate:91 | API request to bank completed successfully
2023-03-29 16:05:16.429 | INFO | second_task:16 | This instance is in the database. Display from the database
2023-03-29 16:05:16.430 | INFO | compare_currency_rate:88 | API request to bank
2023-03-29 16:05:16.634 | SUCCESS | compare_currency_rate:91 | API request to bank completed successfully
2023-03-29 16:05:38.120 | INFO | get_currency_rate_on_date:40 | API request to bank
2023-03-29 16:05:38.443 | ERROR | second_task:26 | Could not save in the DataBase: NOT NULL constraint failed: second_rateday.data
2023-03-29 16:06:11.719 | INFO | get_currency_rate_on_date:40 | API request to bank
2023-03-29 16:06:12.147 | ERROR | second_task:26 | Could not save in the DataBase: NOT NULL constraint failed: second_rateday.data
2023-03-29 16:07:15.415 | INFO | get_currency_rate_on_date:40 | API request to bank
2023-03-29 16:07:15.796 | ERROR | second_task:26 | Could not save in the DataBase: NOT NULL constraint failed: second_rateday.data
2023-03-29 16:07:17.716 | INFO | get_currency_rate_on_date:40 | API request to bank
2023-03-29 16:07:18.148 | ERROR | second_task:26 | Could not save in the DataBase: NOT NULL constraint failed: second_rateday.data
2023-03-29 16:07:18.452 | INFO | second_task:16 | This instance is in the database. Display from the database
2023-03-29 16:07:18.453 | INFO | compare_currency_rate:88 | API request to bank
2023-03-29 16:07:18.646 | SUCCESS | compare_currency_rate:91 | API request to bank completed successfully
2023-03-29 16:07:19.284 | INFO | second_task:16 | This instance is in the database. Display from the database
2023-03-29 16:07:19.285 | INFO | compare_currency_rate:88 | API request to bank
2023-03-29 16:07:19.466 | SUCCESS | compare_currency_rate:91 | API request to bank completed successfully
